id,districts_id:id,name
c_1,d_1,Akkaraipattu
c_2,d_1,Ambagahawatta
c_3,d_1,Ampara
c_4,d_1,Bakmitiyawa
c_5,d_1,Deegawapiya
c_6,d_1,Devalahinda
c_7,d_1,Digamadulla Weeragoda
c_8,d_1,Dorakumbura
c_9,d_1,Gonagolla
c_10,d_1,Hulannuge
c_11,d_1,Kalmunai
c_12,d_1,Kannakipuram
c_13,d_1,Karativu
c_14,d_1,Kekirihena
c_15,d_1,Koknahara
c_16,d_1,Kolamanthalawa
c_17,d_1,Komari
c_18,d_1,Lahugala
c_19,d_1,Irakkamam
c_20,d_1,Mahaoya
c_21,d_1,Marathamune
c_22,d_1,Namaloya
c_23,d_1,Navithanveli
c_24,d_1,Nintavur
c_25,d_1,Oluvil
c_26,d_1,Padiyatalawa
c_27,d_1,Pahalalanda
c_28,d_1,Panama
c_29,d_1,Pannalagama
c_30,d_1,Paragahakele
c_31,d_1,Periyaneelavanai
c_32,d_1,Polwaga Janapadaya
c_33,d_1,Pottuvil
c_34,d_1,Sainthamaruthu
c_35,d_1,Samanthurai
c_36,d_1,Serankada
c_37,d_1,Tempitiya
c_38,d_1,Thambiluvil
c_39,d_1,Tirukovil
c_40,d_1,Uhana
c_41,d_1,Wadinagala
c_42,d_1,Wanagamuwa
c_43,d_2,Angamuwa
c_44,d_2,Anuradhapura
c_45,d_2,Awukana
c_46,d_2,Bogahawewa
c_47,d_2,Dematawewa
c_48,d_2,Dimbulagala
c_49,d_2,Dutuwewa
c_50,d_2,Elayapattuwa
c_51,d_2,Ellewewa
c_52,d_2,Eppawala
c_53,d_2,Etawatunuwewa
c_54,d_2,Etaweeragollewa
c_55,d_2,Galapitagala
c_56,d_2,Galenbindunuwewa
c_57,d_2,Galkadawala
c_58,d_2,Galkiriyagama
c_59,d_2,Galkulama
c_60,d_2,Galnewa
c_61,d_2,Gambirigaswewa
c_62,d_2,Ganewalpola
c_63,d_2,Gemunupura
c_64,d_2,Getalawa
